ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2013-01-01,335097.43534179707,229226.2087173725,514229.0110043288,335097.43534179707,335097.43534179707,43387.486721597816,43387.486721597816,43387.486721597816,-68169.68115644371,-68169.68115644371,-68169.68115644371,111557.16787804154,111557.16787804154,111557.16787804154,0.0,0.0,0.0,378484.9220633949
2013-01-02,335468.8175672886,245526.68275601225,528013.9822487375,335468.8175672886,335468.8175672886,55370.49799619661,55370.49799619661,55370.49799619661,-44221.553688425905,-44221.553688425905,-44221.553688425905,99592.05168462251,99592.05168462251,99592.05168462251,0.0,0.0,0.0,390839.3155634852
2013-01-03,335840.1997927801,152553.3385129547,434086.0880987875,335840.1997927801,335840.1997927801,-44262.61629317531,-44262.61629317531,-44262.61629317531,-131871.4006154685,-131871.4006154685,-131871.4006154685,87608.7843222932,87608.7843222932,87608.7843222932,0.0,0.0,0.0,291577.5834996048
2013-01-04,336211.5820182716,214982.23011369267,496535.0659810933,336211.5820182716,336211.5820182716,18711.127537351273,18711.127537351273,18711.127537351273,-57074.66279807181,-57074.66279807181,-57074.66279807181,75785.79033542308,75785.79033542308,75785.79033542308,0.0,0.0,0.0,354922.7095556229
2013-01-05,336582.9642437631,394055.9492315105,669552.3002451173,336582.9642437631,336582.9642437631,198332.75926988118,198332.75926988118,198332.75926988118,134041.40660617556,134041.40660617556,134041.40660617556,64291.35266370559,64291.35266370559,64291.35266370559,0.0,0.0,0.0,534915.7235136443
2013-01-06,336954.3464692547,441944.27529255906,717021.7203607133,336954.3464692547,336954.3464692547,241671.68448362162,241671.68448362162,241671.68448362162,188391.55704690574,188391.55704690574,188391.55704690574,53280.127436715884,53280.127436715884,53280.127436715884,0.0,0.0,0.0,578626.0309528763
2013-01-07,337325.72869474615,214093.96063072028,503682.48028394196,337325.72869474615,337325.72869474615,21794.37340395515,21794.37340395515,21794.37340395515,-21095.66539485099,-21095.66539485099,-21095.66539485099,42890.03879880613,42890.03879880613,42890.03879880613,0.0,0.0,0.0,359120.1020987013
2013-01-08,337697.1109202377,161860.1677467061,445783.6636205952,337697.1109202377,337697.1109202377,-34930.054623036995,-34930.054623036995,-34930.054623036995,-68169.68115644691,-68169.68115644691,-68169.68115644691,33239.62653340993,33239.62653340993,33239.62653340993,0.0,0.0,0.0,302767.05629720073
2013-01-09,338068.49314572924,180784.31874717894,452437.33698771615,338068.49314572924,338068.49314572924,-19795.64650223134,-19795.64650223134,-19795.64650223134,-44221.55368853218,-44221.55368853218,-44221.55368853218,24425.907186300836,24425.907186300836,24425.907186300836,0.0,0.0,0.0,318272.8466434979
2013-01-10,338439.87537122075,85250.02909930504,364259.515845511,338439.87537122075,338439.87537122075,-115348.6048004583,-115348.6048004583,-115348.6048004583,-131871.40061553492,-131871.40061553492,-131871.40061553492,16522.795815076628,16522.795815076628,16522.795815076628,0.0,0.0,0.0,223091.27057076246
2013-01-11,338811.25759671227,145979.34214681937,434191.53404109547,338811.25759671227,338811.25759671227,-47494.54201817809,-47494.54201817809,-47494.54201817809,-57074.6627979731,-57074.6627979731,-57074.6627979731,9580.120779795016,9580.120779795016,9580.120779795016,0.0,0.0,0.0,291316.7155785342
2013-01-12,339182.6398222038,338031.4818464063,616677.6223637772,339182.6398222038,339182.6398222038,137664.6551384603,137664.6551384603,137664.6551384603,134041.40660594235,134041.40660594235,134041.40660594235,3623.248532517953,3623.248532517953,3623.248532517953,0.0,0.0,0.0,476847.2949606641
2013-01-13,339554.0220476953,388663.2975623807,667365.2791002663,339554.0220476953,339554.0220476953,187044.87661947127,187044.87661947127,187044.87661947127,188391.55704706648,188391.55704706648,188391.55704706648,-1346.680427595233,-1346.680427595233,-1346.680427595233,0.0,0.0,0.0,526598.8986671666
2013-01-14,339925.4042731868,167139.94597607947,451103.8082619714,339925.4042731868,339925.4042731868,-26447.584369258882,-26447.584369258882,-26447.584369258882,-21095.66539461944,-21095.66539461944,-21095.66539461944,-5351.918974639446,-5351.918974639446,-5351.918974639446,0.0,0.0,0.0,313477.8199039279
2013-01-15,340296.7864986783,131657.5390920281,404958.0298782414,340296.7864986783,340296.7864986783,-76606.39505588556,-76606.39505588556,-76606.39505588556,-68169.68115645015,-68169.68115645015,-68169.68115645015,-8436.713899435419,-8436.713899435419,-8436.713899435419,0.0,0.0,0.0,263690.3914427928
